2, 4, 8, 16, 32, 64, 128, 256, 512, 1024
1.00, 2.20, 3.60, 6.60, 7.80, 10.00, 12.80, 15.20, 18.20, 20.60
1.00, 2.20, 3.80, 7.00, 7.60, 11.40, 13.20, 15.80, 18.00, 21.80
1.00, 2.20, 4.80, 6.00, 8.00, 10.00, 15.20, 16.00, 18.80, 20.40 
1.00, 2.80, 3.60, 7.00, 8.00, 11.20, 12.00, 15.60, 18.40, 22.20
1.00, 2.40, 3.40, 5.80, 7.80, 10.80, 12.00, 16.40, 18.40, 20.80 
