8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072 
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0000, 1.0000, 2.0000, 5.0000, 11.0000
0.001, 0.001, 0.001, 0.003, 0.007, 0.012, 0.063, 0.074, 0.215, 0.405, 1.218, 3.213, 6.362, 16.971, 42.433 
0.3704, 0.0055, 0.008, 0.0113, 0.0267, 0.0966, 0.2433, 0.3427, 0.7484, 1.9021, 5.032, 12.418, 30.6533, 86.2499, 248.7147
